date,url,title
03/21/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=a0bed7cb10,Pycoder's Weekly (Issue #107): Once More With Feeling
03/21/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=42967e4ff3,Pycoder's Weekly (Issue #107): Spring
03/14/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=c8a760c5a0,Pycoder's Weekly (Issue #106): Pi Day
03/07/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=0d0e04938e,Pycoder's Weekly (Issue #105): Fancy
02/28/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=2af7360abb,Pycoder's Weekly (Issue #104): scrypt
02/21/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=0da18b2a24,Pycoder's Weekly (Issue #103): Beta
02/14/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=9de11cbf39,Pycoder's Weekly (Issue #102): Community
02/07/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=8454ad6dd2,Pycoder's Weekly (Issue #101): Sochi
01/31/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=995f292392,Pycoder's Weekly (Issue #100): Hundy
01/24/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=6ad49cd999,Pycoder's Weekly (Issue #99.5): Fugazi
01/17/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=7891d94b10,Pycoder's Weekly (Issue #99): Gretzky
01/10/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=70f94dc81c,Pycoder's Weekly (Issue #98): 2 vs. 3
01/03/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=384b699bca,Pycoder's Weekly  - Top Python Projects of 2013
12/20/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=5f11d89cd4,Pycoder's Weekly (Issue #97): 2013
12/13/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=a791b52282,Pycoder's Weekly (Issue #96): Cake
12/06/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=71f4dfdd78,Pycoder's Weekly (Issue #95): Fork
11/29/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=c6f54ad59d,Pycoder's Weekly (Issue #94): Black Friday
11/22/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=317f1fd4ce,Pycoder's Weekly (Issue #93): Robot Game
11/15/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=720a9f6aa5,Pycoder's Weekly (Issue #92): Wheel
11/08/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=cb2392aec0,Pycoder's Weekly (Issue #91): 0x5B
11/01/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=3881c37c77,Pycoder's Weekly (Issue #90): KitKat
10/25/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=c8c36205c4,Pycoder's Weekly (Issue #89): Mavericks
10/18/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=593624c9fe,Pycoder's Weekly (Issue #88): asyncio
10/11/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=76d53042e2,Pycoder's Weekly (Issue #87): Thanksgiving (CA)
10/04/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=b9ddf93d30,Pycoder's Weekly (Issue #86): RTFD
09/27/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=8b91cb0481,Pycoder's Weekly (Issue #85): horse_ebooks
09/20/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=cef077c65e,Pycoder's Weekly (Issue #84): Ready
09/13/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=d55ba2f5b3,Pycoder's Weekly (Issue #83): Programmers' Day
09/06/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=d5836a1bff,Pycoder's Weekly (Issue #82): Octocat
08/30/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=e1346eade4,Pycoder's Weekly (Issue #81): Exception
08/23/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=90fc42e3c1,Pycoder's Weekly (Issue #80): Peace.
08/16/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=8edfb01a64,Pycoder's Weekly (Issue #79): Its Friday.
08/09/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=05923c8e5d,Pycoder's Weekly (Issue #78): PyCon Canada 2013
08/02/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=3b3cde972e,Pycoder's Weekly (Issue #77): Zelda
07/26/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=47251bf186,Pycoder's Weekly (Issue #76): Caremad
07/19/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=f64bf8e005,Pycoder's Weekly (Issue #75): PEP 8
07/12/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=959ffd3c61,Pycoder's Weekly (Issue #74): Numba
07/05/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=6aca731079,Pycoder's Weekly (Issue #73):  Julython 2013
06/28/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=4aeca730ca,Pycoder's Weekly (Issue #72): Bugs
06/21/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=8848206a1a,Pycoder's Weekly (Issue #71): Docker
06/14/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=0eb10a283a,Pycoder's Weekly (Issue #70): Glass
06/07/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=ba34a19b09,Pycoder's Weekly (Issue #69): Air
